OR,Scr,GDP_PC,SS,HLE,Fre_LC,Gene,Year
1,7.769,1.34,1.587,0.986,0.596,0.153,1
1,7.632,1.305,1.592,0.874,0.681,0.202,0
2,7.6,1.383,1.573,0.996,0.592,0.252,1
2,7.594,1.456,1.582,0.861,0.686,0.286,0
3,7.555,1.351,1.59,0.868,0.683,0.284,0
3,7.554,1.488,1.582,1.028,0.603,0.271,1
4,7.494,1.38,1.624,1.026,0.591,0.354,1
4,7.495,1.343,1.644,0.914,0.677,0.353,0
5,7.488,1.396,1.522,0.999,0.557,0.322,1
5,7.487,1.42,1.549,0.927,0.66,0.256,0
6,7.441,1.361,1.488,0.878,0.638,0.333,0
6,7.48,1.452,1.526,1.052,0.572,0.263,1
7,7.328,1.33,1.532,0.896,0.653,0.321,0
7,7.343,1.387,1.487,1.009,0.574,0.267,1
8,7.307,1.303,1.557,1.026,0.585,0.33,1
8,7.324,1.268,1.601,0.876,0.669,0.365,0
9,7.278,1.365,1.505,1.039,0.584,0.285,1
9,7.314,1.355,1.501,0.913,0.659,0.285,0
10,7.272,1.34,1.573,0.91,0.647,0.361,0
10,7.246,1.376,1.475,1.016,0.532,0.244,1
11,7.228,1.372,1.548,1.036,0.557,0.332,1
11,7.19,1.244,1.433,0.888,0.464,0.262,0
12,7.139,1.341,1.504,0.891,0.617,0.242,0
12,7.167,1.034,1.441,0.963,0.558,0.144,1
13,7.072,1.01,1.459,0.817,0.632,0.143,0
13,7.139,1.276,1.455,1.029,0.371,0.261,1
14,6.977,1.448,1.583,0.876,0.614,0.307,0
14,7.09,1.609,1.479,1.012,0.526,0.194,1
15,6.965,1.34,1.474,0.861,0.586,0.273,0
15,7.054,1.333,1.538,0.996,0.45,0.348,1
16,6.927,1.324,1.483,0.894,0.583,0.188,0
16,7.021,1.499,1.553,0.999,0.516,0.298,1
17,6.985,1.373,1.454,0.987,0.495,0.261,1
17,6.91,1.576,1.52,0.896,0.632,0.196,0
18,6.923,1.356,1.504,0.986,0.473,0.16,1
18,6.886,1.398,1.471,0.819,0.547,0.291,0
19,6.814,1.301,1.559,0.883,0.533,0.354,0
19,6.892,1.433,1.457,0.874,0.454,0.28,1
20,6.852,1.269,1.487,0.92,0.457,0.046,1
20,6.774,2.096,0.776,0.67,0.284,0.186,0
21,6.711,1.233,1.489,0.854,0.543,0.064,0
21,6.825,1.503,1.31,0.825,0.598,0.262,1
22,6.726,1.3,1.52,0.999,0.564,0.375,1
22,6.627,1.27,1.525,0.884,0.645,0.376,0
23,6.489,1.293,1.466,0.908,0.52,0.098,0
23,6.595,1.07,1.323,0.861,0.433,0.074,1
