Overall rank,Year,Score,GDP per capita,Social support,Healthy life expectancy,Freedom to make life choices,Generosity,Perceptions of corruption
1,1,7.769,1.34,1.587,0.986,0.596,0.153,0.393
1,0,7.632,1.305,1.592,0.874,0.681,0.202,0.393
2,1,7.6,1.383,1.573,0.996,0.592,0.252,0.41
2,0,7.594,1.456,1.582,0.861,0.686,0.286,0.34
3,0,7.555,1.351,1.59,0.868,0.683,0.284,0.408
3,1,7.554,1.488,1.582,1.028,0.603,0.271,0.341
4,1,7.494,1.38,1.624,1.026,0.591,0.354,0.118
4,0,7.495,1.343,1.644,0.914,0.677,0.353,0.138
5,1,7.488,1.396,1.522,0.999,0.557,0.322,0.298
5,0,7.487,1.42,1.549,0.927,0.66,0.256,0.357
6,0,7.441,1.361,1.488,0.878,0.638,0.333,0.295
6,1,7.48,1.452,1.526,1.052,0.572,0.263,0.343
7,0,7.328,1.33,1.532,0.896,0.653,0.321,0.291
7,1,7.343,1.387,1.487,1.009,0.574,0.267,0.373
8,1,7.307,1.303,1.557,1.026,0.585,0.33,0.38
8,0,7.324,1.268,1.601,0.876,0.669,0.365,0.389
9,1,7.278,1.365,1.505,1.039,0.584,0.285,0.308
9,0,7.314,1.355,1.501,0.913,0.659,0.285,0.383
10,0,7.272,1.34,1.573,0.91,0.647,0.361,0.302
10,1,7.246,1.376,1.475,1.016,0.532,0.244,0.226
11,1,7.228,1.372,1.548,1.036,0.557,0.332,0.29
11,0,7.19,1.244,1.433,0.888,0.464,0.262,0.082
12,0,7.139,1.341,1.504,0.891,0.617,0.242,0.224
12,1,7.167,1.034,1.441,0.963,0.558,0.144,0.093
13,0,7.072,1.01,1.459,0.817,0.632,0.143,0.101
13,1,7.139,1.276,1.455,1.029,0.371,0.261,0.082
14,0,6.977,1.448,1.583,0.876,0.614,0.307,0.306
14,1,7.09,1.609,1.479,1.012,0.526,0.194,0.316
15,0,6.965,1.34,1.474,0.861,0.586,0.273,0.28
15,1,7.054,1.333,1.538,0.996,0.45,0.348,0.278
16,0,6.927,1.324,1.483,0.894,0.583,0.188,0.24
16,1,7.021,1.499,1.553,0.999,0.516,0.298,0.31
17,1,6.985,1.373,1.454,0.987,0.495,0.261,0.265
17,0,6.91,1.576,1.52,0.896,0.632,0.196,0.321
18,1,6.923,1.356,1.504,0.986,0.473,0.16,0.21
18,0,6.886,1.398,1.471,0.819,0.547,0.291,0.133
19,0,6.814,1.301,1.559,0.883,0.533,0.354,0.272
19,1,6.892,1.433,1.457,0.874,0.454,0.28,0.128
20,1,6.852,1.269,1.487,0.92,0.457,0.046,0.036
20,0,6.774,2.096,0.776,0.67,0.284,0.186,0.182
21,0,6.711,1.233,1.489,0.854,0.543,0.064,0.034
21,1,6.825,1.503,1.31,0.825,0.598,0.262,0.182
22,1,6.726,1.3,1.52,0.999,0.564,0.375,0.151
22,0,6.627,1.27,1.525,0.884,0.645,0.376,0.142
23,0,6.489,1.293,1.466,0.908,0.52,0.098,0.176
23,1,6.595,1.07,1.323,0.861,0.433,0.074,0.073
24,1,6.592,1.324,1.472,1.045,0.436,0.111,0.183
24,0,6.488,1.038,1.252,0.761,0.479,0.069,0.095
25,0,6.476,1.131,1.331,0.808,0.431,0.197,0.061
25,1,6.446,1.368,1.43,0.914,0.351,0.242,0.097
26,1,6.444,1.159,1.369,0.92,0.357,0.187,0.056
26,0,6.441,1.365,1.436,0.857,0.418,0.151,0.078
27,1,6.436,0.8,1.269,0.746,0.535,0.175,0.078
27,0,6.43,1.112,1.438,0.759,0.597,0.125,0.063
28,0,6.419,0.986,1.474,0.675,0.493,0.11,0.088
28,1,6.375,1.403,1.357,0.795,0.439,0.08,0.132
29,0,6.388,1.073,1.468,0.744,0.57,0.062,0.054
29,1,6.374,1.684,1.313,0.871,0.555,0.22,0.167
30,0,6.382,0.781,1.268,0.608,0.604,0.179,0.071
30,1,6.354,1.286,1.484,1.062,0.362,0.153,0.079
31,1,6.321,1.149,1.442,0.91,0.516,0.109,0.054
31,0,6.379,1.093,1.459,0.771,0.625,0.13,0.155
32,1,6.3,1.004,1.439,0.802,0.39,0.099,0.086
32,0,6.374,1.649,1.303,0.748,0.654,0.256,0.171
33,0,6.371,1.379,1.331,0.633,0.509,0.098,0.127
33,1,6.293,1.124,1.465,0.891,0.523,0.127,0.15
34,1,6.262,1.572,1.463,1.141,0.556,0.271,0.453
34,0,6.343,1.529,1.451,1.008,0.631,0.261,0.457
35,1,6.253,0.794,1.242,0.789,0.43,0.093,0.074
35,0,6.322,1.161,1.258,0.669,0.356,0.311,0.059
36,1,6.223,1.294,1.488,1.039,0.231,0.158,0.03
36,0,6.31,1.251,1.538,0.965,0.449,0.142,0.074
37,1,6.199,1.362,1.368,0.871,0.536,0.255,0.11
37,0,6.26,0.96,1.439,0.635,0.531,0.099,0.039
38,1,6.198,1.246,1.504,0.881,0.334,0.121,0.014
38,0,6.192,1.223,1.492,0.564,0.575,0.171,0.019
39,0,6.173,1.21,1.537,0.776,0.354,0.118,0.014
39,1,6.192,1.231,1.477,0.713,0.489,0.185,0.016
40,0,6.167,0.806,1.231,0.639,0.461,0.065,0.082
40,1,6.182,1.206,1.438,0.884,0.483,0.117,0.05
41,0,6.141,0.668,1.319,0.7,0.527,0.208,0.128
41,1,6.174,0.745,1.529,0.756,0.631,0.322,0.24
42,1,6.149,1.238,1.515,0.818,0.291,0.043,0.042
42,0,6.123,1.176,1.448,0.781,0.546,0.108,0.064
43,0,6.105,1.338,1.366,0.698,0.594,0.243,0.123
43,1,6.125,0.985,1.41,0.841,0.47,0.099,0.034
44,1,6.118,1.258,1.523,0.953,0.564,0.144,0.057
44,0,6.096,0.719,1.584,0.605,0.724,0.328,0.259
45,0,6.083,1.474,1.301,0.675,0.554,0.167,0.106
45,1,6.105,0.694,1.325,0.835,0.435,0.2,0.127
46,1,6.1,0.882,1.232,0.758,0.489,0.262,0.006
46,0,6.072,1.016,1.417,0.707,0.637,0.364,0.029
47,1,6.086,1.092,1.432,0.881,0.471,0.066,0.05
47,0,6,1.264,1.501,0.946,0.281,0.137,0.028
48,0,5.973,0.889,1.33,0.736,0.556,0.114,0.12
48,1,6.07,1.162,1.232,0.825,0.462,0.083,0.005
49,0,5.956,0.807,1.101,0.474,0.593,0.183,0.089
49,1,6.046,1.263,1.223,1.042,0.406,0.19,0.041
50,1,6.028,0.912,1.312,0.868,0.498,0.126,0.087
50,0,5.952,1.197,1.527,0.716,0.35,0.026,0.006
