F1,id,Lat,Long,Pr,d_o,m_n,N_o_r,r_p_m,ava_2020,room_type
0,2595,40.75362,-73.98377,225,15,10,48,0.39,1,1
1,3831,40.68514,-73.95976,89,188,1,295,4.67,1,1
2,5099,40.74767,-73.975,200,362,3,78,0.6,19,1
3,5121,40.68688,-73.95596,60,0,29,49,0.38,365,0
4,5178,40.76489,-73.98493,79,141,2,454,3.52,242,0
6,5238,40.71344,-73.99037,150,86,1,161,1.29,1,1
7,5441,40.76076,-73.98867,85,323,3,204,1.56,10,0
8,5803,40.66829,-73.98779,89,12,4,175,1.35,0,0
9,6090,40.7353,-74.00525,120,226,180,27,0.22,271,1
10,6848,40.70837,-73.95352,140,319,2,170,1.33,0,1
11,7097,40.69169,-73.97185,199,15,1,215,1.79,0,1
13,7726,40.67592,-73.94694,99,172,3,75,4.43,63,1
15,7801,40.71842,-73.95718,299,14,3,9,0.07,1,1
16,8024,40.68069,-73.97706,115,4,1,143,1.15,0,0
17,8025,40.67989,-73.97798,80,4,1,41,0.37,150,0
18,8110,40.68001,-73.97865,32,15,2,77,0.64,0,0
19,8490,40.68371,-73.94028,120,63,2,105,0.84,296,1
20,8505,40.65599,-73.97519,60,289,1,23,1.22,78,0
22,9518,40.86482,-73.92106,44,12,3,114,1.12,353,0
23,9657,40.7292,-73.98542,180,30,10,33,0.26,86,1
24,9668,40.82245,-73.95104,50,17,3,256,2.07,361,0
25,9704,40.81305,-73.95466,52,145,2,97,1.45,326,0
27,9783,40.8213,-73.95318,50,13,3,286,2.37,1,0
28,10452,40.6831,-73.95473,70,115,1,75,0.64,251,0
29,10962,40.66869,-73.9878,89,26,4,177,1.43,349,0
31,11708,40.70186,-73.92745,85,301,2,253,2.06,43,1
33,12048,40.71401,-73.98917,40,76,1,219,1.78,0,2
34,12192,40.7229,-73.98199,68,297,2,258,2.1,62,0
35,12318,40.79009,-73.97927,135,93,4,89,0.73,287,0
36,12343,40.81175,-73.94478,150,91,7,106,0.88,1,1
37,12627,40.65944,-73.96238,150,211,29,12,0.44,61,1
38,12937,40.74771,-73.9474,130,97,2,269,2.33,189,0
39,12940,40.68111,-73.95591,110,301,7,64,0.53,339,1
40,13050,40.68554,-73.9409,120,268,3,12,0.1,0,1
41,13394,40.69142,-73.97376,80,28,3,142,1.17,281,0
42,13808,40.68043,-73.93934,80,172,1,135,1.17,223,0
43,14287,40.78635,-73.97008,151,60,3,86,0.71,56,1
44,14290,40.7042,-73.9356,228,205,3,88,0.72,170,1
45,14314,40.73506,-73.95392,149,133,2,366,3.01,269,1
46,14322,40.73961,-73.98074,200,137,7,19,0.2,324,1
47,14377,40.70881,-73.9593,150,360,30,111,0.91,0,1
48,14468,40.74354,-73.98122,85,90,3,20,0.71,310,0
49,14991,40.72004,-73.99104,110,13,5,19,0.16,323,0
50,15220,40.75531,-73.99293,69,89,2,311,2.57,1,0
51,15338,40.72401,-73.93788,49,24,4,146,1.21,353,0
52,15341,40.7221,-73.99775,180,267,14,25,0.33,11,1
53,15385,40.71185,-73.96204,90,33,2,46,0.4,221,0
56,15729,40.67695,-74.01121,89,26,12,25,0.22,1,0
57,16326,40.67811,-73.96428,200,182,30,147,1.31,335,1
58,16338,40.69,-73.96788,45,85,7,27,0.22,240,0
59,16421,40.75979,-73.99119,52,142,30,193,1.59,235,0
61,16580,40.72649,-73.97904,80,242,1,379,4.95,136,0
62,16595,40.70933,-73.96792,250,3,1,163,1.47,363,1
63,16821,40.72298,-73.98474,99,18,1,113,1.27,356,0
64,16974,40.80164,-73.93922,225,155,4,206,1.7,0,1
66,17092,40.76342,-73.98865,51,121,5,27,0.47,116,0
67,17693,40.83139,-73.94095,65,29,2,59,1.66,358,0
68,17747,40.68346,-73.96374,105,115,2,124,1.04,0,0
69,18127,40.72828,-73.98801,170,113,5,21,0.19,333,1
70,18195,40.7459,-73.90764,90,55,7,20,0.17,143,0
71,18590,40.6932,-73.97267,95,219,3,150,1.28,0,0
72,18728,40.74138,-74.00197,150,74,4,180,1.69,296,0
73,18764,40.71154,-73.96112,145,54,3,63,0.53,324,0
74,19159,40.82915,-73.95136,110,65,31,55,0.48,190,1
75,19169,40.71851,-73.98892,285,111,5,76,0.64,1,1
76,19282,40.65401,-73.96323,130,362,6,17,0.15,94,1
77,19601,40.69723,-73.99268,2000,211,1,25,0.23,93,1
78,19812,40.71833,-73.95748,105,62,3,61,0.51,295,1
79,20299,40.72334,-73.9844,60,300,3,208,1.78,67,0
81,20611,40.71156,-73.96218,85,40,3,190,1.61,1,0
82,20717,40.67832,-73.97243,85,11,1,32,0.43,331,0
83,20724,40.70032,-73.9383,65,29,5,30,0.33,280,0
84,20734,40.68233,-73.97261,135,312,3,186,3.46,0,1
85,20755,40.68634,-73.966,98,25,7,18,0.21,342,0
86,20853,40.68035,-73.97162,250,311,21,23,0.31,158,1
87,21293,40.70093,-73.92609,105,302,3,131,1.11,0,1
88,21456,40.79764,-73.96177,140,117,30,82,0.69,320,1
89,21644,40.82803,-73.94731,89,0,1,3,0.21,365,0
90,21794,40.74008,-74.00271,111,6,7,35,0.3,343,0
91,22911,40.68413,-73.92357,125,115,7,139,1.18,230,1
92,23135,40.67967,-74.00154,175,7,2,254,2.18,348,1
93,23686,40.73096,-74.00319,500,118,5,48,0.54,253,1
94,24143,40.71332,-73.94177,101,46,3,344,2.97,153,0
95,24285,40.66941,-73.98109,220,44,30,88,0.76,9,1
96,25235,40.68373,-73.92377,125,138,5,167,1.44,1,1
97,25406,40.71459,-73.94844,80,7,30,29,0.37,0,1
98,25696,40.8092,-73.94421,100,30,2,188,1.7,343,0
99,26012,40.68157,-73.98989,200,323,30,20,0.2,64,1
100,26362,40.75527,-73.99291,59,59,2,357,3.07,310,0
101,26520,40.68698,-73.96572,125,84,2,26,0.25,352,0
102,26559,40.7288,-73.98192,140,50,7,12,0.12,157,1
103,26785,40.66853,-73.98912,120,57,30,469,4.06,0,1
